##,###,S,C,A,L,E,S,!,S,C,A,L,E,S,!,S,C,A,L,E,S
329,329,0.14,0.292,0.462,0.555,0.725,0.877,0.97,1.14,1.292,1.462,1.555,1.725,1.877,1.97,2.14,2.292,2.462,2.555,2.725,2.877
330,330,0.047,0.14,0.292,0.462,0.555,0.725,0.877,1.047,1.14,1.292,1.462,1.555,1.725,1.877,2.047,2.14,2.292,2.462,2.555,2.725
331,331,0.047,0.14,0.292,0.462,0.555,0.725,0.877,1.047,1.14,1.292,1.462,1.555,1.725,1.877,2.047,2.14,2.292,2.462,2.555,2.725
332,332,0.047,0.14,0.31,0.462,0.555,0.725,0.877,1.047,1.14,1.31,1.462,1.555,1.725,1.877,2.047,2.14,2.31,2.462,2.555,2.725
333,333,0.047,0.14,0.31,0.462,0.555,0.725,0.877,1.047,1.14,1.31,1.462,1.555,1.725,1.877,2.047,2.14,2.31,2.462,2.555,2.725
334,334,0.047,0.14,0.31,0.462,0.632,0.725,0.877,1.047,1.14,1.31,1.462,1.632,1.725,1.877,2.047,2.14,2.31,2.462,2.632,2.725
335,335,0.047,0.14,0.31,0.462,0.632,0.725,0.877,1.047,1.14,1.31,1.462,1.632,1.725,1.877,2.047,2.14,2.31,2.462,2.632,2.725
336,336,0.047,0.14,0.31,0.462,0.632,0.725,0.895,1.047,1.14,1.31,1.462,1.632,1.725,1.895,2.047,2.14,2.31,2.462,2.632,2.725
337,337,0.047,0.14,0.31,0.462,0.632,0.725,0.895,1.047,1.14,1.31,1.462,1.632,1.725,1.895,2.047,2.14,2.31,2.462,2.632,2.725
338,338,0.047,0.217,0.31,0.462,0.632,0.725,0.895,1.047,1.217,1.31,1.462,1.632,1.725,1.895,2.047,2.217,2.31,2.462,2.632,2.725
339,339,0.047,0.217,0.31,0.462,0.632,0.725,0.895,1.047,1.217,1.31,1.462,1.632,1.725,1.895,2.047,2.217,2.31,2.462,2.632,2.725
340,340,0.047,0.217,0.31,0.48,0.632,0.725,0.895,1.047,1.217,1.31,1.48,1.632,1.725,1.895,2.047,2.217,2.31,2.48,2.632,2.725
341,341,0.047,0.217,0.31,0.48,0.632,0.725,0.895,1.047,1.217,1.31,1.48,1.632,1.725,1.895,2.047,2.217,2.31,2.48,2.632,2.725
342,342,0.047,0.217,0.31,0.48,0.632,0.802,0.895,1.047,1.217,1.31,1.48,1.632,1.802,1.895,2.047,2.217,2.31,2.48,2.632,2.802
343,343,0.047,0.217,0.31,0.48,0.632,0.802,0.895,1.047,1.217,1.31,1.48,1.632,1.802,1.895,2.047,2.217,2.31,2.48,2.632,2.802
344,344,0.065,0.217,0.31,0.48,0.632,0.802,0.895,1.065,1.217,1.31,1.48,1.632,1.802,1.895,2.065,2.217,2.31,2.48,2.632,2.802
345,345,0.065,0.217,0.31,0.48,0.632,0.802,0.895,1.065,1.217,1.31,1.48,1.632,1.802,1.895,2.065,2.217,2.31,2.48,2.632,2.802
346,346,0.065,0.217,0.387,0.48,0.632,0.802,0.895,1.065,1.217,1.387,1.48,1.632,1.802,1.895,2.065,2.217,2.387,2.48,2.632,2.802
347,347,0.065,0.217,0.387,0.48,0.632,0.802,0.895,1.065,1.217,1.387,1.48,1.632,1.802,1.895,2.065,2.217,2.387,2.48,2.632,2.802
348,348,0.065,0.217,0.387,0.48,0.65,0.802,0.895,1.065,1.217,1.387,1.48,1.65,1.802,1.895,2.065,2.217,2.387,2.48,2.65,2.802
349,349,0.065,0.217,0.387,0.48,0.65,0.802,0.895,1.065,1.217,1.387,1.48,1.65,1.802,1.895,2.065,2.217,2.387,2.48,2.65,2.802
350,350,0.065,0.217,0.387,0.48,0.65,0.802,0.972,1.065,1.217,1.387,1.48,1.65,1.802,1.972,2.065,2.217,2.387,2.48,2.65,2.802
351,351,0.065,0.217,0.387,0.48,0.65,0.802,0.972,1.065,1.217,1.387,1.48,1.65,1.802,1.972,2.065,2.217,2.387,2.48,2.65,2.802
352,352,0.065,0.235,0.387,0.48,0.65,0.802,0.972,1.065,1.235,1.387,1.48,1.65,1.802,1.972,2.065,2.235,2.387,2.48,2.65,2.802
353,353,0.065,0.235,0.387,0.48,0.65,0.802,0.972,1.065,1.235,1.387,1.48,1.65,1.802,1.972,2.065,2.235,2.387,2.48,2.65,2.802
354,354,0.065,0.235,0.387,0.557,0.65,0.802,0.972,1.065,1.235,1.387,1.557,1.65,1.802,1.972,2.065,2.235,2.387,2.557,2.65,2.802
355,355,0.065,0.235,0.387,0.557,0.65,0.802,0.972,1.065,1.235,1.387,1.557,1.65,1.802,1.972,2.065,2.235,2.387,2.557,2.65,2.802
356,356,0.065,0.235,0.387,0.557,0.65,0.82,0.972,1.065,1.235,1.387,1.557,1.65,1.82,1.972,2.065,2.235,2.387,2.557,2.65,2.82
357,357,0.065,0.235,0.387,0.557,0.65,0.82,0.972,1.065,1.235,1.387,1.557,1.65,1.82,1.972,2.065,2.235,2.387,2.557,2.65,2.82
358,358,0.142,0.235,0.387,0.557,0.65,0.82,0.972,1.142,1.235,1.387,1.557,1.65,1.82,1.972,2.142,2.235,2.387,2.557,2.65,2.82
359,359,0.142,0.235,0.387,0.557,0.65,0.82,0.972,1.142,1.235,1.387,1.557,1.65,1.82,1.972,2.142,2.235,2.387,2.557,2.65,2.82
360,360,0.142,0.235,0.405,0.557,0.65,0.82,0.972,1.142,1.235,1.405,1.557,1.65,1.82,1.972,2.142,2.235,2.405,2.557,2.65,2.82
361,361,0.142,0.235,0.405,0.557,0.65,0.82,0.972,1.142,1.235,1.405,1.557,1.65,1.82,1.972,2.142,2.235,2.405,2.557,2.65,2.82
362,362,0.142,0.235,0.405,0.557,0.727,0.82,0.972,1.142,1.235,1.405,1.557,1.727,1.82,1.972,2.142,2.235,2.405,2.557,2.727,2.82
363,363,0.142,0.235,0.405,0.557,0.727,0.82,0.972,1.142,1.235,1.405,1.557,1.727,1.82,1.972,2.142,2.235,2.405,2.557,2.727,2.82
364,364,0.142,0.235,0.405,0.557,0.727,0.82,0.99,1.142,1.235,1.405,1.557,1.727,1.82,1.99,2.142,2.235,2.405,2.557,2.727,2.82
365,365,0.142,0.235,0.405,0.557,0.727,0.82,0.99,1.142,1.235,1.405,1.557,1.727,1.82,1.99,2.142,2.235,2.405,2.557,2.727,2.82
366,366,0.142,0.312,0.405,0.557,0.727,0.82,0.99,1.142,1.312,1.405,1.557,1.727,1.82,1.99,2.142,2.312,2.405,2.557,2.727,2.82
367,367,0.142,0.312,0.405,0.557,0.727,0.82,0.99,1.142,1.312,1.405,1.557,1.727,1.82,1.99,2.142,2.312,2.405,2.557,2.727,2.82
368,368,0.142,0.312,0.405,0.575,0.727,0.82,0.99,1.142,1.312,1.405,1.575,1.727,1.82,1.99,2.142,2.312,2.405,2.575,2.727,2.82
369,369,0.142,0.312,0.405,0.575,0.727,0.82,0.99,1.142,1.312,1.405,1.575,1.727,1.82,1.99,2.142,2.312,2.405,2.575,2.727,2.82
370,370,0.142,0.312,0.405,0.575,0.727,0.897,0.99,1.142,1.312,1.405,1.575,1.727,1.897,1.99,2.142,2.312,2.405,2.575,2.727,2.897
371,371,0.142,0.312,0.405,0.575,0.727,0.897,0.99,1.142,1.312,1.405,1.575,1.727,1.897,1.99,2.142,2.312,2.405,2.575,2.727,2.897
372,372,0.16,0.312,0.405,0.575,0.727,0.897,0.99,1.16,1.312,1.405,1.575,1.727,1.897,1.99,2.16,2.312,2.405,2.575,2.727,2.897
373,373,0.16,0.312,0.405,0.575,0.727,0.897,0.99,1.16,1.312,1.405,1.575,1.727,1.897,1.99,2.16,2.312,2.405,2.575,2.727,2.897
374,374,0.16,0.312,0.482,0.575,0.727,0.897,0.99,1.16,1.312,1.482,1.575,1.727,1.897,1.99,2.16,2.312,2.482,2.575,2.727,2.897
375,375,0.16,0.312,0.482,0.575,0.727,0.897,0.99,1.16,1.312,1.482,1.575,1.727,1.897,1.99,2.16,2.312,2.482,2.575,2.727,2.897
376,376,0.16,0.312,0.482,0.575,0.745,0.897,0.99,1.16,1.312,1.482,1.575,1.745,1.897,1.99,2.16,2.312,2.482,2.575,2.745,2.897
377,377,0.16,0.312,0.482,0.575,0.745,0.897,0.99,1.16,1.312,1.482,1.575,1.745,1.897,1.99,2.16,2.312,2.482,2.575,2.745,2.897
378,378,0.067,0.16,0.312,0.482,0.575,0.745,0.897,1.067,1.16,1.312,1.482,1.575,1.745,1.897,2.067,2.16,2.312,2.482,2.575,2.745
379,379,0.067,0.16,0.312,0.482,0.575,0.745,0.897,1.067,1.16,1.312,1.482,1.575,1.745,1.897,2.067,2.16,2.312,2.482,2.575,2.745
380,380,0.067,0.16,0.33,0.482,0.575,0.745,0.897,1.067,1.16,1.33,1.482,1.575,1.745,1.897,2.067,2.16,2.33,2.482,2.575,2.745
381,381,0.067,0.16,0.33,0.482,0.575,0.745,0.897,1.067,1.16,1.33,1.482,1.575,1.745,1.897,2.067,2.16,2.33,2.482,2.575,2.745
382,382,0.067,0.16,0.33,0.482,0.652,0.745,0.897,1.067,1.16,1.33,1.482,1.652,1.745,1.897,2.067,2.16,2.33,2.482,2.652,2.745
383,383,0.067,0.16,0.33,0.482,0.652,0.745,0.897,1.067,1.16,1.33,1.482,1.652,1.745,1.897,2.067,2.16,2.33,2.482,2.652,2.745
384,384,0.067,0.16,0.33,0.482,0.652,0.745,0.915,1.067,1.16,1.33,1.482,1.652,1.745,1.915,2.067,2.16,2.33,2.482,2.652,2.745
385,385,0.067,0.16,0.33,0.482,0.652,0.745,0.915,1.067,1.16,1.33,1.482,1.652,1.745,1.915,2.067,2.16,2.33,2.482,2.652,2.745
386,386,0.067,0.237,0.33,0.482,0.652,0.745,0.915,1.067,1.237,1.33,1.482,1.652,1.745,1.915,2.067,2.237,2.33,2.482,2.652,2.745
387,387,0.067,0.237,0.33,0.482,0.652,0.745,0.915,1.067,1.237,1.33,1.482,1.652,1.745,1.915,2.067,2.237,2.33,2.482,2.652,2.745
388,388,0.067,0.237,0.33,0.5,0.652,0.745,0.915,1.067,1.237,1.33,1.5,1.652,1.745,1.915,2.067,2.237,2.33,2.5,2.652,2.745
389,389,0.067,0.237,0.33,0.5,0.652,0.745,0.915,1.067,1.237,1.33,1.5,1.652,1.745,1.915,2.067,2.237,2.33,2.5,2.652,2.745
390,390,0.067,0.237,0.33,0.5,0.652,0.822,0.915,1.067,1.237,1.33,1.5,1.652,1.822,1.915,2.067,2.237,2.33,2.5,2.652,2.822
391,391,0.067,0.237,0.33,0.5,0.652,0.822,0.915,1.067,1.237,1.33,1.5,1.652,1.822,1.915,2.067,2.237,2.33,2.5,2.652,2.822
392,392,0.085,0.237,0.33,0.5,0.652,0.822,0.915,1.085,1.237,1.33,1.5,1.652,1.822,1.915,2.085,2.237,2.33,2.5,2.652,2.822
393,393,0.085,0.237,0.33,0.5,0.652,0.822,0.915,1.085,1.237,1.33,1.5,1.652,1.822,1.915,2.085,2.237,2.33,2.5,2.652,2.822
394,394,0.085,0.237,0.407,0.5,0.652,0.822,0.915,1.085,1.237,1.407,1.5,1.652,1.822,1.915,2.085,2.237,2.407,2.5,2.652,2.822
395,395,0.085,0.237,0.407,0.5,0.652,0.822,0.915,1.085,1.237,1.407,1.5,1.652,1.822,1.915,2.085,2.237,2.407,2.5,2.652,2.822
396,396,0.085,0.237,0.407,0.5,0.67,0.822,0.915,1.085,1.237,1.407,1.5,1.67,1.822,1.915,2.085,2.237,2.407,2.5,2.67,2.822
397,397,0.085,0.237,0.407,0.5,0.67,0.822,0.915,1.085,1.237,1.407,1.5,1.67,1.822,1.915,2.085,2.237,2.407,2.5,2.67,2.822
398,398,0.085,0.237,0.407,0.5,0.67,0.822,0.992,1.085,1.237,1.407,1.5,1.67,1.822,1.992,2.085,2.237,2.407,2.5,2.67,2.822
399,399,0.085,0.237,0.407,0.5,0.67,0.822,0.992,1.085,1.237,1.407,1.5,1.67,1.822,1.992,2.085,2.237,2.407,2.5,2.67,2.822
400,400,0.085,0.255,0.407,0.5,0.67,0.822,0.992,1.085,1.255,1.407,1.5,1.67,1.822,1.992,2.085,2.255,2.407,2.5,2.67,2.822
401,401,0.085,0.255,0.407,0.5,0.67,0.822,0.992,1.085,1.255,1.407,1.5,1.67,1.822,1.992,2.085,2.255,2.407,2.5,2.67,2.822
402,402,0.085,0.255,0.407,0.577,0.67,0.822,0.992,1.085,1.255,1.407,1.577,1.67,1.822,1.992,2.085,2.255,2.407,2.577,2.67,2.822
403,403,0.085,0.255,0.407,0.577,0.67,0.822,0.992,1.085,1.255,1.407,1.577,1.67,1.822,1.992,2.085,2.255,2.407,2.577,2.67,2.822
404,404,0.085,0.255,0.407,0.577,0.67,0.84,0.992,1.085,1.255,1.407,1.577,1.67,1.84,1.992,2.085,2.255,2.407,2.577,2.67,2.84
405,405,0.085,0.255,0.407,0.577,0.67,0.84,0.992,1.085,1.255,1.407,1.577,1.67,1.84,1.992,2.085,2.255,2.407,2.577,2.67,2.84
406,406,0.162,0.255,0.407,0.577,0.67,0.84,0.992,1.162,1.255,1.407,1.577,1.67,1.84,1.992,2.162,2.255,2.407,2.577,2.67,2.84
407,407,0.162,0.255,0.407,0.577,0.67,0.84,0.992,1.162,1.255,1.407,1.577,1.67,1.84,1.992,2.162,2.255,2.407,2.577,2.67,2.84
408,408,0.162,0.255,0.425,0.577,0.67,0.84,0.992,1.162,1.255,1.425,1.577,1.67,1.84,1.992,2.162,2.255,2.425,2.577,2.67,2.84
409,409,0.162,0.255,0.425,0.577,0.67,0.84,0.992,1.162,1.255,1.425,1.577,1.67,1.84,1.992,2.162,2.255,2.425,2.577,2.67,2.84
410,410,0.162,0.255,0.425,0.577,0.747,0.84,0.992,1.162,1.255,1.425,1.577,1.747,1.84,1.992,2.162,2.255,2.425,2.577,2.747,2.84
411,411,0.162,0.255,0.425,0.577,0.747,0.84,0.992,1.162,1.255,1.425,1.577,1.747,1.84,1.992,2.162,2.255,2.425,2.577,2.747,2.84
412,412,0.01,0.162,0.255,0.425,0.577,0.747,0.84,1.01,1.162,1.255,1.425,1.577,1.747,1.84,2.01,2.162,2.255,2.425,2.577,2.747
413,413,0.01,0.162,0.255,0.425,0.577,0.747,0.84,1.01,1.162,1.255,1.425,1.577,1.747,1.84,2.01,2.162,2.255,2.425,2.577,2.747
414,414,0.01,0.162,0.332,0.425,0.577,0.747,0.84,1.01,1.162,1.332,1.425,1.577,1.747,1.84,2.01,2.162,2.332,2.425,2.577,2.747
415,415,0.01,0.162,0.332,0.425,0.577,0.747,0.84,1.01,1.162,1.332,1.425,1.577,1.747,1.84,2.01,2.162,2.332,2.425,2.577,2.747
416,416,0.01,0.162,0.332,0.425,0.595,0.747,0.84,1.01,1.162,1.332,1.425,1.595,1.747,1.84,2.01,2.162,2.332,2.425,2.595,2.747
417,417,0.01,0.162,0.332,0.425,0.595,0.747,0.84,1.01,1.162,1.332,1.425,1.595,1.747,1.84,2.01,2.162,2.332,2.425,2.595,2.747
418,418,0.01,0.162,0.332,0.425,0.595,0.747,0.917,1.01,1.162,1.332,1.425,1.595,1.747,1.917,2.01,2.162,2.332,2.425,2.595,2.747
419,419,0.01,0.162,0.332,0.425,0.595,0.747,0.917,1.01,1.162,1.332,1.425,1.595,1.747,1.917,2.01,2.162,2.332,2.425,2.595,2.747
420,420,0.01,0.18,0.332,0.425,0.595,0.747,0.917,1.01,1.18,1.332,1.425,1.595,1.747,1.917,2.01,2.18,2.332,2.425,2.595,2.747
421,421,0.01,0.18,0.332,0.425,0.595,0.747,0.917,1.01,1.18,1.332,1.425,1.595,1.747,1.917,2.01,2.18,2.332,2.425,2.595,2.747
422,422,0.01,0.18,0.332,0.502,0.595,0.747,0.917,1.01,1.18,1.332,1.502,1.595,1.747,1.917,2.01,2.18,2.332,2.502,2.595,2.747
423,423,0.01,0.18,0.332,0.502,0.595,0.747,0.917,1.01,1.18,1.332,1.502,1.595,1.747,1.917,2.01,2.18,2.332,2.502,2.595,2.747
424,424,0.01,0.18,0.332,0.502,0.595,0.765,0.917,1.01,1.18,1.332,1.502,1.595,1.765,1.917,2.01,2.18,2.332,2.502,2.595,2.765
425,425,0.01,0.18,0.332,0.502,0.595,0.765,0.917,1.01,1.18,1.332,1.502,1.595,1.765,1.917,2.01,2.18,2.332,2.502,2.595,2.765
426,426,0.087,0.18,0.332,0.502,0.595,0.765,0.917,1.087,1.18,1.332,1.502,1.595,1.765,1.917,2.087,2.18,2.332,2.502,2.595,2.765
427,427,0.087,0.18,0.332,0.502,0.595,0.765,0.917,1.087,1.18,1.332,1.502,1.595,1.765,1.917,2.087,2.18,2.332,2.502,2.595,2.765
428,428,0.087,0.18,0.35,0.502,0.595,0.765,0.917,1.087,1.18,1.35,1.502,1.595,1.765,1.917,2.087,2.18,2.35,2.502,2.595,2.765
429,429,0.087,0.18,0.35,0.502,0.595,0.765,0.917,1.087,1.18,1.35,1.502,1.595,1.765,1.917,2.087,2.18,2.35,2.502,2.595,2.765
430,430,0.087,0.18,0.35,0.502,0.672,0.765,0.917,1.087,1.18,1.35,1.502,1.672,1.765,1.917,2.087,2.18,2.35,2.502,2.672,2.765
431,431,0.087,0.18,0.35,0.502,0.672,0.765,0.917,1.087,1.18,1.35,1.502,1.672,1.765,1.917,2.087,2.18,2.35,2.502,2.672,2.765
432,432,0.087,0.18,0.35,0.502,0.672,0.765,0.935,1.087,1.18,1.35,1.502,1.672,1.765,1.935,2.087,2.18,2.35,2.502,2.672,2.765
433,433,0.087,0.18,0.35,0.502,0.672,0.765,0.935,1.087,1.18,1.35,1.502,1.672,1.765,1.935,2.087,2.18,2.35,2.502,2.672,2.765
434,434,0.087,0.257,0.35,0.502,0.672,0.765,0.935,1.087,1.257,1.35,1.502,1.672,1.765,1.935,2.087,2.257,2.35,2.502,2.672,2.765
435,435,0.087,0.257,0.35,0.502,0.672,0.765,0.935,1.087,1.257,1.35,1.502,1.672,1.765,1.935,2.087,2.257,2.35,2.502,2.672,2.765
436,436,0.087,0.257,0.35,0.52,0.672,0.765,0.935,1.087,1.257,1.35,1.52,1.672,1.765,1.935,2.087,2.257,2.35,2.52,2.672,2.765
437,437,0.087,0.257,0.35,0.52,0.672,0.765,0.935,1.087,1.257,1.35,1.52,1.672,1.765,1.935,2.087,2.257,2.35,2.52,2.672,2.765
438,438,0.087,0.257,0.35,0.52,0.672,0.842,0.935,1.087,1.257,1.35,1.52,1.672,1.842,1.935,2.087,2.257,2.35,2.52,2.672,2.842
439,439,0.087,0.257,0.35,0.52,0.672,0.842,0.935,1.087,1.257,1.35,1.52,1.672,1.842,1.935,2.087,2.257,2.35,2.52,2.672,2.842
440,440,0.105,0.257,0.35,0.52,0.672,0.842,0.935,1.105,1.257,1.35,1.52,1.672,1.842,1.935,2.105,2.257,2.35,2.52,2.672,2.842
441,441,0.105,0.257,0.35,0.52,0.672,0.842,0.935,1.105,1.257,1.35,1.52,1.672,1.842,1.935,2.105,2.257,2.35,2.52,2.672,2.842
442,442,0.105,0.257,0.427,0.52,0.672,0.842,0.935,1.105,1.257,1.427,1.52,1.672,1.842,1.935,2.105,2.257,2.427,2.52,2.672,2.842
443,443,0.105,0.257,0.427,0.52,0.672,0.842,0.935,1.105,1.257,1.427,1.52,1.672,1.842,1.935,2.105,2.257,2.427,2.52,2.672,2.842
444,444,0.105,0.257,0.427,0.52,0.69,0.842,0.935,1.105,1.257,1.427,1.52,1.69,1.842,1.935,2.105,2.257,2.427,2.52,2.69,2.842
445,445,0.105,0.257,0.427,0.52,0.69,0.842,0.935,1.105,1.257,1.427,1.52,1.69,1.842,1.935,2.105,2.257,2.427,2.52,2.69,2.842
446,446,0.012,0.105,0.257,0.427,0.52,0.69,0.842,1.012,1.105,1.257,1.427,1.52,1.69,1.842,2.012,2.105,2.257,2.427,2.52,2.69
447,447,0.012,0.105,0.257,0.427,0.52,0.69,0.842,1.012,1.105,1.257,1.427,1.52,1.69,1.842,2.012,2.105,2.257,2.427,2.52,2.69
448,448,0.012,0.105,0.275,0.427,0.52,0.69,0.842,1.012,1.105,1.275,1.427,1.52,1.69,1.842,2.012,2.105,2.275,2.427,2.52,2.69
449,449,0.012,0.105,0.275,0.427,0.52,0.69,0.842,1.012,1.105,1.275,1.427,1.52,1.69,1.842,2.012,2.105,2.275,2.427,2.52,2.69
450,450,0.012,0.105,0.275,0.427,0.597,0.69,0.842,1.012,1.105,1.275,1.427,1.597,1.69,1.842,2.012,2.105,2.275,2.427,2.597,2.69
451,451,0.012,0.105,0.275,0.427,0.597,0.69,0.842,1.012,1.105,1.275,1.427,1.597,1.69,1.842,2.012,2.105,2.275,2.427,2.597,2.69
452,452,0.012,0.105,0.275,0.427,0.597,0.69,0.86,1.012,1.105,1.275,1.427,1.597,1.69,1.86,2.012,2.105,2.275,2.427,2.597,2.69
453,453,0.012,0.105,0.275,0.427,0.597,0.69,0.86,1.012,1.105,1.275,1.427,1.597,1.69,1.86,2.012,2.105,2.275,2.427,2.597,2.69
454,454,0.012,0.182,0.275,0.427,0.597,0.69,0.86,1.012,1.182,1.275,1.427,1.597,1.69,1.86,2.012,2.182,2.275,2.427,2.597,2.69
455,455,0.012,0.182,0.275,0.427,0.597,0.69,0.86,1.012,1.182,1.275,1.427,1.597,1.69,1.86,2.012,2.182,2.275,2.427,2.597,2.69
456,456,0.012,0.182,0.275,0.445,0.597,0.69,0.86,1.012,1.182,1.275,1.445,1.597,1.69,1.86,2.012,2.182,2.275,2.445,2.597,2.69
457,457,0.012,0.182,0.275,0.445,0.597,0.69,0.86,1.012,1.182,1.275,1.445,1.597,1.69,1.86,2.012,2.182,2.275,2.445,2.597,2.69
458,458,0.012,0.182,0.275,0.445,0.597,0.767,0.86,1.012,1.182,1.275,1.445,1.597,1.767,1.86,2.012,2.182,2.275,2.445,2.597,2.767
459,459,0.012,0.182,0.275,0.445,0.597,0.767,0.86,1.012,1.182,1.275,1.445,1.597,1.767,1.86,2.012,2.182,2.275,2.445,2.597,2.767
460,460,0.03,0.182,0.275,0.445,0.597,0.767,0.86,1.03,1.182,1.275,1.445,1.597,1.767,1.86,2.03,2.182,2.275,2.445,2.597,2.767
461,461,0.03,0.182,0.275,0.445,0.597,0.767,0.86,1.03,1.182,1.275,1.445,1.597,1.767,1.86,2.03,2.182,2.275,2.445,2.597,2.767
462,462,0.03,0.182,0.352,0.445,0.597,0.767,0.86,1.03,1.182,1.352,1.445,1.597,1.767,1.86,2.03,2.182,2.352,2.445,2.597,2.767
463,463,0.03,0.182,0.352,0.445,0.597,0.767,0.86,1.03,1.182,1.352,1.445,1.597,1.767,1.86,2.03,2.182,2.352,2.445,2.597,2.767
464,464,0.03,0.182,0.352,0.445,0.615,0.767,0.86,1.03,1.182,1.352,1.445,1.615,1.767,1.86,2.03,2.182,2.352,2.445,2.615,2.767
465,465,0.03,0.182,0.352,0.445,0.615,0.767,0.86,1.03,1.182,1.352,1.445,1.615,1.767,1.86,2.03,2.182,2.352,2.445,2.615,2.767
466,466,0.03,0.182,0.352,0.445,0.615,0.767,0.937,1.03,1.182,1.352,1.445,1.615,1.767,1.937,2.03,2.182,2.352,2.445,2.615,2.767
467,467,0.03,0.182,0.352,0.445,0.615,0.767,0.937,1.03,1.182,1.352,1.445,1.615,1.767,1.937,2.03,2.182,2.352,2.445,2.615,2.767
468,468,0.03,0.2,0.352,0.445,0.615,0.767,0.937,1.03,1.2,1.352,1.445,1.615,1.767,1.937,2.03,2.2,2.352,2.445,2.615,2.767
469,469,0.03,0.2,0.352,0.445,0.615,0.767,0.937,1.03,1.2,1.352,1.445,1.615,1.767,1.937,2.03,2.2,2.352,2.445,2.615,2.767
470,470,0.03,0.2,0.352,0.522,0.615,0.767,0.937,1.03,1.2,1.352,1.522,1.615,1.767,1.937,2.03,2.2,2.352,2.522,2.615,2.767
471,471,0.03,0.2,0.352,0.522,0.615,0.767,0.937,1.03,1.2,1.352,1.522,1.615,1.767,1.937,2.03,2.2,2.352,2.522,2.615,2.767
472,472,0.03,0.2,0.352,0.522,0.615,0.785,0.937,1.03,1.2,1.352,1.522,1.615,1.785,1.937,2.03,2.2,2.352,2.522,2.615,2.785
473,473,0.03,0.2,0.352,0.522,0.615,0.785,0.937,1.03,1.2,1.352,1.522,1.615,1.785,1.937,2.03,2.2,2.352,2.522,2.615,2.785
474,474,0.107,0.2,0.352,0.522,0.615,0.785,0.937,1.107,1.2,1.352,1.522,1.615,1.785,1.937,2.107,2.2,2.352,2.522,2.615,2.785
475,475,0.107,0.2,0.352,0.522,0.615,0.785,0.937,1.107,1.2,1.352,1.522,1.615,1.785,1.937,2.107,2.2,2.352,2.522,2.615,2.785
476,476,0.107,0.2,0.37,0.522,0.615,0.785,0.937,1.107,1.2,1.37,1.522,1.615,1.785,1.937,2.107,2.2,2.37,2.522,2.615,2.785
477,477,0.107,0.2,0.37,0.522,0.615,0.785,0.937,1.107,1.2,1.37,1.522,1.615,1.785,1.937,2.107,2.2,2.37,2.522,2.615,2.785
478,478,0.107,0.2,0.37,0.522,0.692,0.785,0.937,1.107,1.2,1.37,1.522,1.692,1.785,1.937,2.107,2.2,2.37,2.522,2.692,2.785
479,479,0.107,0.2,0.37,0.522,0.692,0.785,0.937,1.107,1.2,1.37,1.522,1.692,1.785,1.937,2.107,2.2,2.37,2.522,2.692,2.785
480,480,0.107,0.2,0.37,0.522,0.692,0.785,0.955,1.107,1.2,1.37,1.522,1.692,1.785,1.955,2.107,2.2,2.37,2.522,2.692,2.785
481,481,0.107,0.2,0.37,0.522,0.692,0.785,0.955,1.107,1.2,1.37,1.522,1.692,1.785,1.955,2.107,2.2,2.37,2.522,2.692,2.785
482,482,0.107,0.277,0.37,0.522,0.692,0.785,0.955,1.107,1.277,1.37,1.522,1.692,1.785,1.955,2.107,2.277,2.37,2.522,2.692,2.785
483,483,0.107,0.277,0.37,0.522,0.692,0.785,0.955,1.107,1.277,1.37,1.522,1.692,1.785,1.955,2.107,2.277,2.37,2.522,2.692,2.785
484,484,0.107,0.277,0.37,0.54,0.692,0.785,0.955,1.107,1.277,1.37,1.54,1.692,1.785,1.955,2.107,2.277,2.37,2.54,2.692,2.785
485,485,0.107,0.277,0.37,0.54,0.692,0.785,0.955,1.107,1.277,1.37,1.54,1.692,1.785,1.955,2.107,2.277,2.37,2.54,2.692,2.785
486,486,0.107,0.277,0.37,0.54,0.692,0.862,0.955,1.107,1.277,1.37,1.54,1.692,1.862,1.955,2.107,2.277,2.37,2.54,2.692,2.862
487,487,0.107,0.277,0.37,0.54,0.692,0.862,0.955,1.107,1.277,1.37,1.54,1.692,1.862,1.955,2.107,2.277,2.37,2.54,2.692,2.862
488,488,0.125,0.277,0.37,0.54,0.692,0.862,0.955,1.125,1.277,1.37,1.54,1.692,1.862,1.955,2.125,2.277,2.37,2.54,2.692,2.862
489,489,0.125,0.277,0.37,0.54,0.692,0.862,0.955,1.125,1.277,1.37,1.54,1.692,1.862,1.955,2.125,2.277,2.37,2.54,2.692,2.862
490,490,0.125,0.277,0.447,0.54,0.692,0.862,0.955,1.125,1.277,1.447,1.54,1.692,1.862,1.955,2.125,2.277,2.447,2.54,2.692,2.862
491,491,0.125,0.277,0.447,0.54,0.692,0.862,0.955,1.125,1.277,1.447,1.54,1.692,1.862,1.955,2.125,2.277,2.447,2.54,2.692,2.862
492,492,0.125,0.277,0.447,0.54,0.71,0.862,0.955,1.125,1.277,1.447,1.54,1.71,1.862,1.955,2.125,2.277,2.447,2.54,2.71,2.862
493,493,0.125,0.277,0.447,0.54,0.71,0.862,0.955,1.125,1.277,1.447,1.54,1.71,1.862,1.955,2.125,2.277,2.447,2.54,2.71,2.862
494,494,0.032,0.125,0.277,0.447,0.54,0.71,0.862,1.032,1.125,1.277,1.447,1.54,1.71,1.862,2.032,2.125,2.277,2.447,2.54,2.71
