##,###,S,C,A,L,E,S,!,S,C,A,L,E,S,!,S,C,A,L,E,S
58,58,0.097,0.267,0.36,0.512,0.682,0.775,0.945,1.097,1.267,1.36,1.512,1.682,1.775,1.945,2.097,2.267,2.36,2.512,2.682,2.775
59,59,0.097,0.267,0.36,0.512,0.682,0.775,0.945,1.097,1.267,1.36,1.512,1.682,1.775,1.945,2.097,2.267,2.36,2.512,2.682,2.775
60,60,0.097,0.267,0.36,0.53,0.682,0.775,0.945,1.097,1.267,1.36,1.53,1.682,1.775,1.945,2.097,2.267,2.36,2.53,2.682,2.775
61,61,0.097,0.267,0.36,0.53,0.682,0.775,0.945,1.097,1.267,1.36,1.53,1.682,1.775,1.945,2.097,2.267,2.36,2.53,2.682,2.775
62,62,0.097,0.267,0.36,0.53,0.682,0.852,0.945,1.097,1.267,1.36,1.53,1.682,1.852,1.945,2.097,2.267,2.36,2.53,2.682,2.852
63,63,0.097,0.267,0.36,0.53,0.682,0.852,0.945,1.097,1.267,1.36,1.53,1.682,1.852,1.945,2.097,2.267,2.36,2.53,2.682,2.852
64,64,0.115,0.267,0.36,0.53,0.682,0.852,0.945,1.115,1.267,1.36,1.53,1.682,1.852,1.945,2.115,2.267,2.36,2.53,2.682,2.852
65,65,0.115,0.267,0.36,0.53,0.682,0.852,0.945,1.115,1.267,1.36,1.53,1.682,1.852,1.945,2.115,2.267,2.36,2.53,2.682,2.852
66,66,0.115,0.267,0.437,0.53,0.682,0.852,0.945,1.115,1.267,1.437,1.53,1.682,1.852,1.945,2.115,2.267,2.437,2.53,2.682,2.852
67,67,0.115,0.267,0.437,0.53,0.682,0.852,0.945,1.115,1.267,1.437,1.53,1.682,1.852,1.945,2.115,2.267,2.437,2.53,2.682,2.852
68,68,0.115,0.267,0.437,0.53,0.7,0.852,0.945,1.115,1.267,1.437,1.53,1.7,1.852,1.945,2.115,2.267,2.437,2.53,2.7,2.852
69,69,0.115,0.267,0.437,0.53,0.7,0.852,0.945,1.115,1.267,1.437,1.53,1.7,1.852,1.945,2.115,2.267,2.437,2.53,2.7,2.852
70,70,0.022,0.115,0.267,0.437,0.53,0.7,0.852,1.022,1.115,1.267,1.437,1.53,1.7,1.852,2.022,2.115,2.267,2.437,2.53,2.7
71,71,0.022,0.115,0.267,0.437,0.53,0.7,0.852,1.022,1.115,1.267,1.437,1.53,1.7,1.852,2.022,2.115,2.267,2.437,2.53,2.7
72,72,0.022,0.115,0.285,0.437,0.53,0.7,0.852,1.022,1.115,1.285,1.437,1.53,1.7,1.852,2.022,2.115,2.285,2.437,2.53,2.7
73,73,0.022,0.115,0.285,0.437,0.53,0.7,0.852,1.022,1.115,1.285,1.437,1.53,1.7,1.852,2.022,2.115,2.285,2.437,2.53,2.7
74,74,0.022,0.115,0.285,0.437,0.607,0.7,0.852,1.022,1.115,1.285,1.437,1.607,1.7,1.852,2.022,2.115,2.285,2.437,2.607,2.7
75,75,0.022,0.115,0.285,0.437,0.607,0.7,0.852,1.022,1.115,1.285,1.437,1.607,1.7,1.852,2.022,2.115,2.285,2.437,2.607,2.7
76,76,0.022,0.115,0.285,0.437,0.607,0.7,0.87,1.022,1.115,1.285,1.437,1.607,1.7,1.87,2.022,2.115,2.285,2.437,2.607,2.7
77,77,0.022,0.115,0.285,0.437,0.607,0.7,0.87,1.022,1.115,1.285,1.437,1.607,1.7,1.87,2.022,2.115,2.285,2.437,2.607,2.7
78,78,0.022,0.192,0.285,0.437,0.607,0.7,0.87,1.022,1.192,1.285,1.437,1.607,1.7,1.87,2.022,2.192,2.285,2.437,2.607,2.7
