###,p,4,6,1,3,5,7,2,#4,6,#1,3,#5,b7,b9,11,b13,1,b3,5,b7
43,43,0.587,0.85,0.172,0.435,0.757,0.02,0.342,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115
44,44,0.85,0.172,0.435,0.757,0.02,0.342,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437
45,45,0.85,0.172,0.435,0.757,0.02,0.342,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437
46,46,0.172,0.435,0.757,0.02,0.342,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7
47,47,0.172,0.435,0.757,0.02,0.342,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7
48,48,0.435,0.757,0.02,0.342,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022
49,49,0.435,0.757,0.02,0.342,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022
50,50,0.757,0.02,0.342,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285
51,51,0.757,0.02,0.342,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285
52,52,0.02,0.342,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607
53,53,0.02,0.342,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607
54,54,0.342,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87
55,55,0.342,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87
56,56,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192
57,57,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192
