##,###,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2
65,65,0.944999999999999,1.115,1.267,1.36,1.53,1.682,1.852,1.945,2.115,2.267,2.36,2.53,2.682,2.852,2.945,3.115
66,66,0.266999999999999,0.436999999999999,0.529999999999999,0.682,0.851999999999999,0.944999999999999,1.115,1.267,1.437,1.53,1.682,1.852,1.945,2.115,2.267,2.437
67,67,0.266999999999999,0.436999999999999,0.529999999999999,0.682,0.851999999999999,0.944999999999999,1.115,1.267,1.437,1.53,1.682,1.852,1.945,2.115,2.267,2.437
68,68,0.529999999999999,0.699999999999999,0.851999999999999,0.944999999999999,1.115,1.267,1.437,1.53,1.7,1.852,1.945,2.115,2.267,2.437,2.53,2.7
69,69,0.529999999999999,0.699999999999999,0.851999999999999,0.944999999999999,1.115,1.267,1.437,1.53,1.7,1.852,1.945,2.115,2.267,2.437,2.53,2.7
70,70,0.851999999999999,1.022,1.115,1.267,1.437,1.53,1.7,1.852,2.022,2.115,2.267,2.437,2.53,2.7,2.852,3.022
71,71,0.851999999999999,1.022,1.115,1.267,1.437,1.53,1.7,1.852,2.022,2.115,2.267,2.437,2.53,2.7,2.852,3.022
72,72,0.114999999999999,0.284999999999999,0.436999999999999,0.529999999999999,0.699999999999999,0.851999999999999,1.022,1.115,1.285,1.437,1.53,1.7,1.852,2.022,2.115,2.285
73,73,0.114999999999999,0.284999999999999,0.436999999999999,0.529999999999999,0.699999999999999,0.851999999999999,1.022,1.115,1.285,1.437,1.53,1.7,1.852,2.022,2.115,2.285
74,74,0.436999999999999,0.606999999999999,0.699999999999999,0.851999999999999,1.022,1.115,1.285,1.437,1.607,1.7,1.852,2.022,2.115,2.285,2.437,2.607
75,75,0.436999999999999,0.606999999999999,0.699999999999999,0.851999999999999,1.022,1.115,1.285,1.437,1.607,1.7,1.852,2.022,2.115,2.285,2.437,2.607
76,76,0.699999999999999,0.869999999999999,1.022,1.115,1.285,1.437,1.607,1.7,1.87,2.022,2.115,2.285,2.437,2.607,2.7,2.87
77,77,0.699999999999999,0.869999999999999,1.022,1.115,1.285,1.437,1.607,1.7,1.87,2.022,2.115,2.285,2.437,2.607,2.7,2.87
78,78,0.021999999999999,0.191999999999999,0.284999999999999,0.436999999999999,0.606999999999999,0.699999999999999,0.869999999999999,1.022,1.192,1.285,1.437,1.607,1.7,1.87,2.022,2.192
79,79,0.021999999999999,0.191999999999999,0.284999999999999,0.436999999999999,0.606999999999999,0.699999999999999,0.869999999999999,1.022,1.192,1.285,1.437,1.607,1.7,1.87,2.022,2.192
80,80,0.284999999999999,0.454999999999999,0.606999999999999,0.699999999999999,0.869999999999999,1.022,1.192,1.285,1.455,1.607,1.7,1.87,2.022,2.192,2.285,2.455
