##,###,b5,~7,b2,~4,b6,~1,b3,~5,b7,~2,4,~6,1,~3,5,~7,2,~4,6,~1
50,50,0.331999999999996,0.594999999999996,0.916999999999996,0.179999999999996,0.501999999999996,0.764999999999996,0.086999999999996,0.349999999999996,0.671999999999996,0.934999999999996,0.256999999999996,0.519999999999996,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996
51,51,0.331999999999996,0.594999999999996,0.916999999999996,0.179999999999996,0.501999999999996,0.764999999999996,0.086999999999996,0.349999999999996,0.671999999999996,0.934999999999996,0.256999999999996,0.519999999999996,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996
52,52,0.594999999999996,0.916999999999996,0.179999999999996,0.501999999999996,0.764999999999996,0.086999999999996,0.349999999999996,0.671999999999996,0.934999999999996,0.256999999999996,0.519999999999996,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996
53,53,0.594999999999996,0.916999999999996,0.179999999999996,0.501999999999996,0.764999999999996,0.086999999999996,0.349999999999996,0.671999999999996,0.934999999999996,0.256999999999996,0.519999999999996,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996
54,54,0.916999999999996,0.179999999999996,0.501999999999996,0.764999999999996,0.086999999999996,0.349999999999996,0.671999999999996,0.934999999999996,0.256999999999996,0.519999999999996,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996
55,55,0.916999999999996,0.179999999999996,0.501999999999996,0.764999999999996,0.086999999999996,0.349999999999996,0.671999999999996,0.934999999999996,0.256999999999996,0.519999999999996,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996
56,56,0.179999999999996,0.501999999999996,0.764999999999996,0.086999999999996,0.349999999999996,0.671999999999996,0.934999999999996,0.256999999999996,0.519999999999996,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996
57,57,0.179999999999996,0.501999999999996,0.764999999999996,0.086999999999996,0.349999999999996,0.671999999999996,0.934999999999996,0.256999999999996,0.519999999999996,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996
58,58,0.501999999999996,0.764999999999996,0.086999999999996,0.349999999999996,0.671999999999996,0.934999999999996,0.256999999999996,0.519999999999996,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996
59,59,0.501999999999996,0.764999999999996,0.086999999999996,0.349999999999996,0.671999999999996,0.934999999999996,0.256999999999996,0.519999999999996,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996
60,60,0.764999999999996,0.086999999999996,0.349999999999996,0.671999999999996,0.934999999999996,0.256999999999996,0.519999999999996,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996,0.351999999999996
61,61,0.764999999999996,0.086999999999996,0.349999999999996,0.671999999999996,0.934999999999996,0.256999999999996,0.519999999999996,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996,0.351999999999996
62,62,0.086999999999996,0.349999999999996,0.671999999999996,0.934999999999996,0.256999999999996,0.519999999999996,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996,0.351999999999996,0.614999999999996
