##,###,4,6,1,3,5,7,2,4,6,1,3,5,7,2,4,6,1,3,5,7
51,51,0.342,0.605,0.927,0.19,0.512,0.775,0.097,1.342,1.605,1.927,1.19,1.512,1.775,1.097,2.342,2.605,2.927,2.19,2.512,2.775
52,52,0.605,0.927,0.19,0.512,0.775,0.097,0.359999999999999,1.605,1.927,1.19,1.512,1.775,1.097,1.36,2.605,2.927,2.19,2.512,2.775,2.097
53,53,0.605,0.927,0.19,0.512,0.775,0.097,0.359999999999999,1.605,1.927,1.19,1.512,1.775,1.097,1.36,2.605,2.927,2.19,2.512,2.775,2.097
54,54,0.927,0.19,0.512,0.775,0.097,0.359999999999999,0.682,1.927,1.19,1.512,1.775,1.097,1.36,1.682,2.927,2.19,2.512,2.775,2.097,2.36
55,55,0.927,0.19,0.512,0.775,0.097,0.359999999999999,0.682,1.927,1.19,1.512,1.775,1.097,1.36,1.682,2.927,2.19,2.512,2.775,2.097,2.36
56,56,0.19,0.512,0.775,0.097,0.359999999999999,0.682,0.944999999999999,1.19,1.512,1.775,1.097,1.36,1.682,1.945,2.19,2.512,2.775,2.097,2.36,2.682
57,57,0.19,0.512,0.775,0.097,0.359999999999999,0.682,0.944999999999999,1.19,1.512,1.775,1.097,1.36,1.682,1.945,2.19,2.512,2.775,2.097,2.36,2.682
58,58,0.512,0.775,0.097,0.359999999999999,0.682,0.944999999999999,0.266999999999999,1.512,1.775,1.097,1.36,1.682,1.945,1.267,2.512,2.775,2.097,2.36,2.682,2.945
59,59,0.512,0.775,0.097,0.359999999999999,0.682,0.944999999999999,0.266999999999999,1.512,1.775,1.097,1.36,1.682,1.945,1.267,2.512,2.775,2.097,2.36,2.682,2.945
60,60,0.775,0.097,0.359999999999999,0.682,0.944999999999999,0.266999999999999,0.529999999999999,1.775,1.097,1.36,1.682,1.945,1.267,1.53,2.775,2.097,2.36,2.682,2.945,2.267
61,61,0.775,0.097,0.359999999999999,0.682,0.944999999999999,0.266999999999999,0.529999999999999,1.775,1.097,1.36,1.682,1.945,1.267,1.53,2.775,2.097,2.36,2.682,2.945,2.267
62,62,0.097,0.359999999999999,0.682,0.944999999999999,0.266999999999999,0.529999999999999,0.851999999999999,1.097,1.36,1.682,1.945,1.267,1.53,1.852,2.097,2.36,2.682,2.945,2.267,2.53
63,63,0.097,0.359999999999999,0.682,0.944999999999999,0.266999999999999,0.529999999999999,0.851999999999999,1.097,1.36,1.682,1.945,1.267,1.53,1.852,2.097,2.36,2.682,2.945,2.267,2.53
64,64,0.359999999999999,0.682,0.944999999999999,0.266999999999999,0.529999999999999,0.851999999999999,0.114999999999999,1.36,1.682,1.945,1.267,1.53,1.852,1.115,2.36,2.682,2.945,2.267,2.53,2.852
65,65,0.359999999999999,0.682,0.944999999999999,0.266999999999999,0.529999999999999,0.851999999999999,0.114999999999999,1.36,1.682,1.945,1.267,1.53,1.852,1.115,2.36,2.682,2.945,2.267,2.53,2.852
66,66,0.682,0.944999999999999,0.266999999999999,0.529999999999999,0.851999999999999,0.114999999999999,0.436999999999999,1.682,1.945,1.267,1.53,1.852,1.115,1.437,2.682,2.945,2.267,2.53,2.852,2.115
67,67,0.682,0.944999999999999,0.266999999999999,0.529999999999999,0.851999999999999,0.114999999999999,0.436999999999999,1.682,1.945,1.267,1.53,1.852,1.115,1.437,2.682,2.945,2.267,2.53,2.852,2.115
68,68,0.944999999999999,0.266999999999999,0.529999999999999,0.851999999999999,0.114999999999999,0.436999999999999,0.699999999999999,1.945,1.267,1.53,1.852,1.115,1.437,1.7,2.945,2.267,2.53,2.852,2.115,2.437
69,69,0.944999999999999,0.266999999999999,0.529999999999999,0.851999999999999,0.114999999999999,0.436999999999999,0.699999999999999,1.945,1.267,1.53,1.852,1.115,1.437,1.7,2.945,2.267,2.53,2.852,2.115,2.437
70,70,0.266999999999999,0.529999999999999,0.851999999999999,0.114999999999999,0.436999999999999,0.699999999999999,0.021999999999999,1.267,1.53,1.852,1.115,1.437,1.7,1.022,2.267,2.53,2.852,2.115,2.437,2.7
71,71,0.266999999999999,0.529999999999999,0.851999999999999,0.114999999999999,0.436999999999999,0.699999999999999,0.021999999999999,1.267,1.53,1.852,1.115,1.437,1.7,1.022,2.267,2.53,2.852,2.115,2.437,2.7
